latitude,longitude,state,county
37.88,-122.23,California,Alameda County
37.86,-122.22,California,Alameda County
37.85,-122.24,California,Alameda County
37.85,-122.25,California,Alameda County
37.84,-122.25,California,Alameda County
37.84,-122.26,California,Alameda County
37.85,-122.26,California,Alameda County
37.85,-122.27,California,Alameda County
37.84,-122.27,California,Alameda County
37.85,-122.28,California,Alameda County
37.84,-122.28,California,Alameda County
37.83,-122.27,California,Alameda County
37.83,-122.28,California,Alameda County
37.83,-122.26,California,Alameda County
37.82,-122.27,California,Alameda County
37.82,-122.26,California,Alameda County
37.82,-122.28,California,Alameda County
37.82,-122.29,California,Alameda County
37.83,-122.29,California,Alameda County
37.81,-122.29,California,Alameda County
37.81,-122.3,California,Alameda County
37.8,-122.29,California,Alameda County
37.81,-122.28,California,Alameda County
37.8,-122.28,California,Alameda County
37.81,-122.27,California,Alameda County
37.8,-122.27,California,Alameda County
37.79,-122.27,California,Alameda County
37.8,-122.26,California,Alameda County
37.81,-122.26,California,Alameda County
37.81,-122.25,California,Alameda County
37.82,-122.24,California,Alameda County
37.81,-122.24,California,Alameda County
37.82,-122.25,California,Alameda County
37.83,-122.25,California,Alameda County
37.84,-122.23,California,Alameda County
37.83,-122.24,California,Alameda County
37.85,-122.23,California,Alameda County
37.84,-122.24,California,Alameda County
37.85,-122.22,California,Alameda County
37.84,-122.22,California,Alameda County
37.84,-122.21,California,Alameda County
37.83,-122.21,California,Alameda County
37.84,-122.2,California,Alameda County
37.84,-122.19,California,Contra Costa County
37.83,-122.19,California,Alameda County
37.83,-122.2,California,Alameda County
37.82,-122.19,California,Alameda County
37.82,-122.2,California,Alameda County
37.81,-122.18,California,Alameda County
37.82,-122.21,California,Alameda County
37.81,-122.2,California,Alameda County
37.8,-122.21,California,Alameda County
37.81,-122.21,California,Alameda County
37.81,-122.22,California,Alameda County
37.8,-122.22,California,Alameda County
37.8,-122.23,California,Alameda County
37.81,-122.23,California,Alameda County
37.8,-122.24,California,Alameda County
37.8,-122.25,California,Alameda County
37.79,-122.24,California,Alameda County
37.79,-122.25,California,Alameda County
37.79,-122.23,California,Alameda County
37.77,-122.22,California,Alameda County
37.77,-122.23,California,Alameda County
37.78,-122.23,California,Alameda County
37.78,-122.22,California,Alameda County
37.79,-122.22,California,Alameda County
37.79,-122.21,California,Alameda County
37.79,-122.2,California,Alameda County
37.8,-122.2,California,Alameda County
37.8,-122.19,California,Alameda County
37.79,-122.19,California,Alameda County
37.78,-122.21,California,Alameda County
37.76,-122.21,California,Alameda County
37.77,-122.21,California,Alameda County
37.77,-122.2,California,Alameda County
37.77,-122.19,California,Alameda County
37.78,-122.2,California,Alameda County
37.78,-122.19,California,Alameda County
37.78,-122.18,California,Alameda County
37.79,-122.18,California,Alameda County
37.8,-122.18,California,Alameda County
37.77,-122.13,California,Alameda County
37.79,-122.16,California,Alameda County
37.78,-122.17,California,Alameda County
37.77,-122.17,California,Alameda County
37.77,-122.16,California,Alameda County
37.76,-122.17,California,Alameda County
37.76,-122.18,California,Alameda County
37.77,-122.18,California,Alameda County
37.76,-122.19,California,Alameda County
37.76,-122.2,California,Alameda County
37.75,-122.2,California,Alameda County
37.75,-122.19,California,Alameda County
37.74,-122.19,California,Alameda County
37.74,-122.18,California,Alameda County
37.73,-122.19,California,Alameda County
37.73,-122.18,California,Alameda County
37.74,-122.17,California,Alameda County
37.73,-122.17,California,Alameda County
37.75,-122.18,California,Alameda County
37.75,-122.17,California,Alameda County
37.76,-122.16,California,Alameda County
37.75,-122.16,California,Alameda County
37.76,-122.15,California,Alameda County
37.77,-122.14,California,Alameda County
37.76,-122.14,California,Alameda County
37.76,-122.13,California,Alameda County
37.75,-122.12,California,Alameda County
37.75,-122.14,California,Alameda County
37.75,-122.13,California,Alameda County
37.74,-122.13,California,Alameda County
37.75,-122.15,California,Alameda County
37.74,-122.15,California,Alameda County
37.74,-122.16,California,Alameda County
37.9,-122.29,California,Contra Costa County
37.89,-122.29,California,Alameda County
37.9,-122.3,California,Contra Costa County
37.89,-122.3,California,Alameda County
37.89,-122.33,California,Alameda County
37.88,-122.34,California,Alameda County
37.88,-122.29,California,Alameda County
37.88,-122.28,California,Alameda County
37.9,-122.27,California,Alameda County
37.9,-122.26,California,Alameda County
37.89,-122.27,California,Alameda County
37.9,-122.28,California,Alameda County
37.89,-122.28,California,Alameda County
37.89,-122.25,California,Alameda County
37.89,-122.26,California,Alameda County
37.88,-122.26,California,Alameda County
37.88,-122.27,California,Alameda County
37.88,-122.3,California,Alameda County
37.87,-122.3,California,Alameda County
37.86,-122.3,California,Alameda County
37.85,-122.29,California,Alameda County
37.87,-122.28,California,Alameda County
37.87,-122.29,California,Alameda County
37.87,-122.27,California,Alameda County
37.87,-122.25,California,Alameda County
37.87,-122.26,California,Alameda County
37.86,-122.28,California,Alameda County
37.86,-122.29,California,Alameda County
37.86,-122.27,California,Alameda County
37.86,-122.26,California,Alameda County
37.86,-122.25,California,Alameda County
37.86,-122.24,California,Alameda County
37.84,-122.29,California,Alameda County
37.84,-122.3,California,Alameda County
37.83,-122.23,California,Alameda County
37.82,-122.22,California,Alameda County
37.82,-122.23,California,Alameda County
37.76,-122.23,California,Alameda County
37.77,-122.24,California,Alameda County
37.77,-122.25,California,Alameda County
37.78,-122.26,California,Alameda County
37.78,-122.27,California,Alameda County
37.79,-122.28,California,Alameda County
37.77,-122.3,California,Alameda County
37.78,-122.28,California,Alameda County
37.78,-122.29,California,Alameda County
37.77,-122.28,California,Alameda County
37.76,-122.29,California,Alameda County
37.77,-122.26,California,Alameda County
37.77,-122.27,California,Alameda County
37.76,-122.24,California,Alameda County
37.75,-122.23,California,Alameda County
37.75,-122.24,California,Alameda County
37.73,-122.24,California,Alameda County
37.74,-122.25,California,Alameda County
37.72,-122.24,California,Alameda County
37.73,-122.27,California,Alameda County
37.76,-122.25,California,Alameda County
37.74,-122.27,California,Alameda County
